도로명주소,지번주소,위도,경도
서울특별시 강북구 노해로13길 89,,37.63924886,127.0175791
서울특별시 강북구 오패산로67길 22,,37.63591148,127.0269476
서울특별시 강북구 오현로25가길 92,,37.62538679,127.0334626
서울특별시 강북구 삼양로54마길 21,,37.62235854,127.0245979
서울특별시 강북구 삼양로123길 46-28,,37.64581456,127.0129147
서울특별시 강북구 도봉로99길 72-2,,37.6439913,127.0266498
서울특별시 강북구 오패산로52마길 20,,37.62503906,127.0317112
서울특별시 강북구 삼양로138길 92,,37.64849559,127.0189193
서울특별시 강북구 삼양로80나길 57,,37.63351483,127.0204189
서울특별시 강북구 삼양로173다길 25,,37.66262697,127.0095869
서울특별시 강북구 삼양로90길 7,,37.63633997,127.0177533
서울특별시 강북구 삼양로139가길 80,,37.65265795,127.0102291
서울특별시 강북구 덕릉로41길 89,,37.63802816,127.0279512
서울특별시 강북구 월계로21다길 5,,37.61606416,127.0382613
서울특별시 강북구 숭인로7나길 35,,37.61459389,127.0259678
서울특별시 강북구 삼양로41길 12,,37.62197334,127.019426
서울특별시 강북구 덕릉로40길 14,,37.63448686,127.0301159
서울특별시 강북구 솔매로 138,,37.62644522,127.0273881
서울특별시 강북구 도봉로57길 33,,37.62743217,127.0236027
서울특별시 강북구 도봉로28가길 17,,37.62180134,127.0313454
서울특별시 강북구 오현로21길 58,,37.62537386,127.0340859
서울특별시 강북구 삼양로79길 35-26,,37.6297732,127.0158003
서울특별시 강북구 솔매로7다길 23,,37.62639107,127.0132506
서울특별시 강북구 한천로150길 60-5,,37.64395097,127.0261291
서울특별시 강북구 삼각산로 47,,37.63965038,127.0095516
서울특별시 강북구 삼양로138길 84-1,,37.64845729,127.0186478
서울특별시 강북구 수유로12길 27-8,,37.63378343,127.0212991
서울특별시 강북구 노해로13길 48,,37.6395741,127.0198522
서울특별시 강북구 덕릉로 125-12,,37.63559385,127.0277676
서울특별시 강북구 삼양로149가길 21,,37.65345418,127.0106265
서울특별시 강북구 삼양로38길 47,,37.62151883,127.0232948
서울특별시 강북구 삼양로123길32-33,,37.64602584,127.0133992
서울특별시 강북구 숭인로7나길 41,,37.61469598,127.026329
서울특별시 강북구 오패산로52마길 7,,37.62543826,127.0320459
서울특별시 강북구 덕릉로40가길 9,,37.63445695,127.0297651
서울특별시 강북구 솔매로51길 10,,37.62716718,127.027526
서울특별시 강북구 삼양로173길 51-8,,37.66193373,127.0096527
서울특별시 강북구 삼양로88가길 6-10,,37.63539166,127.0185702
서울특별시 강북구 오현로21길 12,,37.62650879,127.0362463
서울특별시 강북구 한천로130길 46,,37.63936643,127.0318202
서울특별시 강북구 월계로21나길 45,,37.61628617,127.037862
서울특별시 강북구 노해로32길 38,,37.64406061,127.0252211
서울특별시 강북구 삼양로43길 23,,37.62231737,127.0185379
서울특별시 강북구 삼양로138길 76,,37.64837113,127.018037
서울특별시 강북구 덕릉로24길 41-2,,37.63293373,127.0209704
서울특별시 강북구 솔매로41길 31-5,,37.62703042,127.0229623
서울특별시 강북구 도봉로28길 29,,37.62081012,127.0302367
서울특별시 강북구 삼양로149길 22,,37.65429158,127.0116354
서울특별시 강북구 인수봉로 124,,37.6307036,127.0139187
서울특별시 강북구 솔매로7나길 1-10,,37.62610747,127.014897
서울특별시 강북구 솔샘로64다길 9-1,,37.61546741,127.0280973
서울특별시 강북구 삼각산로 53,,37.639718,127.0100946
서울특별시 강북구 덕릉로40가길 30,,37.63454693,127.0286536
서울특별시 강북구 도봉로54길 24,,37.62726451,127.0273095
서울특별시 강북구 노해로15길 35,,37.63995813,127.0205271
서울특별시 강북구 한천로 965,,37.63577994,127.032875
서울특별시 강북구 오현로 155,,37.62625874,127.0365215
서울특별시 강북구 삼양로54다길 39,,37.62147153,127.0230236
서울특별시 강북구 삼양로131길 23-20,,37.64637806,127.0134965
서울특별시 강북구 노해로32길 24,,37.64453615,127.0249769
서울특별시 강북구 도봉로4길 22,,37.61115443,127.0317551
서울특별시 강북구 삼양로138길 68,,37.6483592,127.0176859
서울특별시 강북구 덕릉로24길 53,,37.63278423,127.0203265
서울특별시 강북구 삼양로173가길 48,,37.66185616,127.0100731
서울특별시 강북구 삼양로88가길 10,,37.63550446,127.0180475
서울특별시 강북구 삼양로149길 10,,37.65405316,127.0122165
서울특별시 강북구 도봉로96길 53,,37.63938017,127.0312988
서울특별시 강북구 월계로21나길 50-14,,37.61697494,127.0383515
서울특별시 강북구 솔샘로64다길 33,,37.61552727,127.0266126
서울특별시 강북구 삼양로43길 33,,37.62232177,127.0179828
서울특별시 강북구 덕릉로40다길 36,,37.63409655,127.0286708
서울특별시 강북구 도봉로76길 77,,37.63469558,127.0270088
서울특별시 강북구 솔매로41길 31-28,,37.62699777,127.022283
서울특별시 강북구 도봉로28길 13,,37.62061413,127.0294124
서울특별시 강북구 덕릉로 194-1,,37.63590898,127.035434
서울특별시 강북구 인수봉로 120,,37.63032312,127.0136745
서울특별시 강북구 솔매로7나길 23,,37.62594804,127.0152276
서울특별시 강북구 노해로32길 19-9,,37.64506084,127.0252307
서울특별시 강북구 인수봉로67길 12-2,,37.64018554,127.0110515
서울특별시 강북구 삼양로138길 40,,37.64872448,127.0161059
서울특별시 강북구 삼양로80길 51,,37.63152489,127.020581
서울특별시 강북구 삼각산로28길 26,,37.63991617,127.0198138
서울특별시 강북구 한천로 983,,37.63677665,127.0313552
서울특별시 강북구 삼양로149길 68,,37.65573658,127.0120356
서울특별시 강북구 삼양로38다길 31,,37.62156792,127.0226938
서울특별시 강북구 삼양로131길 30,,37.64727388,127.0128728
서울특별시 강북구 숭인로13길 39,,37.61429429,127.0267873
서울특별시 강북구 월계로3길 36,,37.61136713,127.0313219
서울특별시 강북구 도봉로78길 78,,37.63382922,127.0279378
서울특별시 강북구 도봉로76길 40,,37.63314583,127.0259187
